id,nombreCurso,grupo,nota,periodo
42,Analitica de Datos,2,2.9,2023-3
43,Analitica de Datos,2,3.8,2022-1
44,Formacion Ciudadana III: Paz y Convivencia,3,2.0,2022-3
45,Ingenieria y Sostenibilidad,4,2.6,2023-1
46,Comunicacion Oral y Escrita,4,0.7,2023-1
47,Logica y Matematica Discreta,3,4.8,2022-3
48,Electiva Profesional 5,5,0.7,2022-3
49,Calculo 2,3,3.3,2021-1
50,Redes e Infraestructura,2,0.5,2023-3
51,Comunicacion Oral y Escrita,3,0.9,2022-3
52,Calculo 2,1,3.7,2023-3
53,Matematicas Fundamentales,1,4.7,2024-1
54,Electiva de Ciencias Sociales,3,3.3,2023-3
55,Matematicas Fundamentales,3,4.5,2021-3
56,Administracion para Ingenieros,4,4.1,2022-1
57,Electiva Libre I,2,1.5,2022-1
58,Algebra Lineal,4,3.7,2023-1
59,Electiva de Lectura y Escritura,5,1.0,2022-3
60,Calculo 2,4,1.5,2022-1
61,Almacenamiento de Datos,1,1.4,2021-3
62,Analitica de Datos,4,1.8,2021-1
63,Electiva Profesional I,1,4.9,2021-3
64,Seguridad de la informacion,5,3.9,2023-3
65,Inteligencia Artificial,2,4.5,2021-1
66,Calculo 2,1,1.3,2021-3
67,Electiva Profesional 3,5,0.5,2024-1
68,Analitica de Datos,2,2.5,2022-3
69,Ingles 2,5,4.4,2022-1
70,Analitica de Datos,4,4.0,2022-3
71,Programacion,3,4.8,2021-3
72,Estadistica y Probabilidad I,3,4.0,2022-3
73,Seminario de Ing. de Datos e I.A.,1,4.7,2023-3
74,Programacion,2,0.3,2024-1
75,Matematicas Fundamentales,2,1.8,2021-3
76,Formacion Ciudadana I : Identidades y Pluralismo,2,1.7,2021-1
77,Redes e Infraestructura,4,0.6,2022-1
78,Electiva Libre I,1,2.2,2021-3
79,Ingles 2,5,0.3,2021-3
80,Matematicas Fundamentales,1,1.3,2024-1
81,Algebra Lineal,2,0.6,2022-3
82,Seminario de Ing. de Datos e I.A.,1,4.8,2021-1
83,Electiva Libre I,1,2.2,2022-1
84,Seguridad de la informacion,1,3.8,2021-1
85,Estadistica y Probabilidad I,4,3.6,2023-3
86,Electiva de Ciencias Sociales,2,1.9,2021-1
87,Ingenieria y Sostenibilidad,4,2.5,2021-1
88,Ingenieria y Sostenibilidad,3,2.9,2024-1
89,Ingles 3,1,0.1,2022-3
90,Electiva Profesional I,2,1.7,2022-1
91,Ingles 3,3,4.2,2022-3
92,Transformacion y Carga),4,3.4,2024-1
93,Electiva Profesional 4,3,3.6,2023-1
94,Seguridad de la informacion,3,3.5,2021-1
95,Comunicacion Oral y Escrita,3,1.3,2022-3
96,Estadistica y Probabilidad I,5,4.2,2022-1
97,Electiva Profesional 2,2,4.9,2022-3
98,Formacion Ciudadana II: Sociedad y Estado,4,1.3,2022-1
99,Estadistica y Probabilidad II,1,2.1,2021-1
100,Comunicacion Oral y Escrita,3,5.0,2022-3
101,Ingenieria y Sostenibilidad,4,3.3,2024-1
102,Ingles 2,2,2.6,2024-1
103,Matematicas Fundamentales,3,3.7,2022-3
104,Formacion Ciudadana III: Paz y Convivencia,3,3.7,2023-3
105,Analitica de Datos,3,0.8,2023-3
106,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,4.8,2024-1
107,Almacenamiento de Datos,2,4.0,2021-3
108,Formacion Ciudadana III: Paz y Convivencia,4,4.7,2024-1
109,Comunicacion Oral y Escrita,4,1.2,2022-3
110,ETL (Extraccion,4,3.9,2022-1
111,Estadistica y Probabilidad I,1,0.4,2021-1
112,Electiva Profesional 3,1,2.5,2022-1
113,Transformacion y Carga),2,3.6,2022-1
114,Calculo 2,5,4.0,2023-1
115,Administracion para Ingenieros,2,0.3,2024-1
116,Programacion,3,2.4,2022-1
117,ETL (Extraccion,4,3.6,2021-3
118,Electiva de Ciencias Sociales,5,4.0,2021-3
119,Ingles 5,2,1.1,2021-1
120,Electiva Profesional 2,3,1.0,2023-3
121,Electiva de Lectura y Escritura,3,4.8,2023-3
122,Almacenamiento de Datos,2,1.2,2022-1
123,Formacion Ciudadana I : Identidades y Pluralismo,4,3.8,2023-1
124,Almacenamiento de Datos,4,3.6,2022-3
125,Electiva de Ciencias Sociales,2,2.4,2023-1
126,Programacion,3,3.9,2023-3
127,Electiva de Ciencias Sociales,1,2.6,2024-1
128,Comunicacion Oral y Escrita,1,2.6,2021-3
129,Programacion,3,2.9,2021-3
130,Sistemas Operativos,5,2.4,2022-3
131,Programacion,5,0.5,2023-1
132,Ingenieria y Sostenibilidad,3,3.8,2022-3
133,Ingles 3,2,0.3,2021-1
134,Electiva Profesional 4,5,3.6,2022-3
135,Electiva Profesional 2,2,2.4,2021-3
136,Estadistica y Probabilidad I,3,0.1,2024-1
137,Formacion Ciudadana I : Identidades y Pluralismo,4,4.1,2023-1
138,Estadistica y Probabilidad I,5,3.2,2022-3
139,Sistemas Operativos,1,1.2,2024-1
140,Algebra Lineal,1,3.4,2023-1
141,Ingles 4,4,0.9,2022-1
142,Formacion Ciudadana II: Sociedad y Estado,5,4.6,2024-1
143,Electiva de Lectura y Escritura,1,2.3,2022-3
144,Formacion Ciudadana I : Identidades y Pluralismo,4,1.0,2022-1
145,Matematicas Fundamentales,4,3.8,2022-1
146,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,5,1.0,2023-1
147,Comunicacion Oral y Escrita,3,3.9,2022-3
148,Calculo 2,1,2.8,2024-1
149,Analitica de Datos,2,3.3,2023-3
150,Electiva de Lectura y Escritura,3,0.4,2023-1
151,Electiva Profesional 2,3,3.7,2022-3
152,Electiva Libre I,4,3.1,2023-3
153,Innovacion y Emprendimiento,3,0.3,2023-3
154,Analitica de Datos,5,3.6,2022-3
155,Electiva Libre I,5,2.1,2021-1
156,Electiva Libre I,1,3.1,2021-3
157,Programacion,3,0.5,2023-3
158,Seminario de Ing. de Datos e I.A.,1,1.8,2022-1
159,Estadistica y Probabilidad II,2,0.4,2022-3
160,Almacenamiento de Datos,4,0.3,2023-1
161,Electiva Profesional 3,5,0.1,2024-1
162,Innovacion y Emprendimiento,1,4.5,2021-3
163,Seminario de Ing. de Datos e I.A.,2,1.3,2023-1
164,Calculo 1,4,3.4,2021-3
165,Algebra Lineal,2,0.3,2024-1
166,Electiva de Ciencias Sociales,3,0.9,2022-1
167,Administracion para Ingenieros,3,4.0,2021-1
168,Electiva Profesional 4,3,2.8,2022-3
169,Electiva Libre I,2,4.4,2023-1
170,Logica y Matematica Discreta,5,0.7,2022-1
171,Redes e Infraestructura,4,0.8,2021-3
172,Matematicas Fundamentales,5,0.1,2022-1
173,Algebra Lineal,4,2.6,2022-1
174,Electiva Profesional 4,2,3.4,2022-3
175,Electiva de Ciencias Sociales,1,4.5,2021-1
176,Ingles 3,3,3.9,2022-1
177,Sistemas Operativos,3,4.3,2021-1
178,Administracion para Ingenieros,4,3.5,2021-3
179,Estadistica y Probabilidad I,3,1.9,2022-3
180,Estadistica y Probabilidad I,1,1.1,2021-3
181,Formacion Ciudadana II: Sociedad y Estado,5,3.0,2022-3
182,Electiva Profesional 4,1,0.1,2023-1
183,Algebra Lineal,2,0.2,2022-1
184,Redes e Infraestructura,5,3.8,2023-1
185,Logica y Matematica Discreta,5,0.7,2022-1
186,Ingles 5,5,1.6,2023-1
187,Formacion Ciudadana III: Paz y Convivencia,2,4.1,2021-1
188,Estadistica y Probabilidad II,5,3.2,2022-3
189,Electiva Profesional 3,5,4.8,2021-3
190,Estadistica y Probabilidad I,4,1.3,2022-3
191,Ingles 2,1,1.4,2024-1
192,Analitica de Datos,1,0.7,2022-1
193,Legislacion y etica en el manejo de datos,4,2.1,2022-3
194,Matematicas Fundamentales,2,0.7,2023-3
195,Comunicacion Oral y Escrita,3,4.8,2023-1
196,Almacenamiento de Datos,5,1.8,2022-3
197,Ingles 2,2,0.5,2022-1
198,Ingenieria y Sostenibilidad,1,1.3,2021-3
199,Almacenamiento de Datos,2,0.8,2022-1
200,Logica y Matematica Discreta,2,3.0,2021-3
201,Algebra Lineal,5,1.6,2021-1
202,ETL (Extraccion,2,1.6,2022-1
203,Administracion para Ingenieros,3,2.5,2023-1
204,Ingles 1,2,2.3,2021-3
205,Innovacion y Emprendimiento,5,1.1,2023-1
206,Sistemas Operativos,2,3.9,2022-1
207,Electiva de Lectura y Escritura,3,4.7,2023-1
208,Ingles 2,4,4.6,2023-3
209,Seguridad de la informacion,2,4.7,2022-3
210,Ingles 3,1,3.2,2023-1
211,Almacenamiento de Datos,3,2.7,2024-1
212,Redes e Infraestructura,5,2.8,2022-3
213,Analitica de Datos,3,0.7,2022-1
214,Estadistica y Probabilidad I,5,0.7,2023-3
215,Legislacion y etica en el manejo de datos,4,5.0,2021-3
216,Electiva Profesional 3,2,1.0,2023-1
217,Legislacion y etica en el manejo de datos,2,3.6,2023-3
218,Formacion Ciudadana I : Identidades y Pluralismo,2,1.5,2022-1
219,Calculo 2,4,0.4,2023-3
220,Seguridad de la informacion,3,2.1,2023-1
221,Calculo 2,2,3.1,2023-1
222,Ingles 1,1,4.4,2021-1
223,Ingles 3,5,2.8,2021-3
224,Electiva de Lectura y Escritura,3,1.5,2023-1
225,Matematicas Fundamentales,3,4.2,2022-1
226,Inteligencia Artificial,4,2.4,2021-1
227,Electiva Profesional 2,1,0.3,2023-3
228,ETL (Extraccion,5,3.6,2022-3
229,Electiva Libre I,1,0.5,2021-3
230,Calculo 1,2,3.4,2023-1
231,Transformacion y Carga),5,4.2,2021-3
232,Electiva Libre I,5,1.2,2024-1
233,Ingles 2,3,4.6,2023-1
234,Innovacion y Emprendimiento,3,0.9,2023-3
235,Estadistica y Probabilidad I,1,3.7,2022-3
236,Electiva Profesional 5,2,4.1,2022-3
237,Legislacion y etica en el manejo de datos,5,1.5,2022-1
238,Programacion,5,1.2,2023-3
239,Electiva de Ciencias Sociales,1,4.7,2023-1
240,Sistemas Operativos,2,3.2,2023-3
241,Electiva Profesional 2,2,4.2,2024-1
242,Electiva de Lectura y Escritura,5,0.2,2024-1
243,Programacion,3,3.0,2023-3
244,Ingles 4,4,1.1,2024-1
245,Logica y Matematica Discreta,1,1.4,2024-1
246,Ingles 1,4,4.9,2023-1
247,Electiva Profesional 4,2,4.2,2022-3
248,Ingles 5,4,1.0,2023-3
249,Formacion Ciudadana III: Paz y Convivencia,3,4.5,2022-1
250,Analitica de Datos,3,1.0,2021-1
251,Comunicacion Oral y Escrita,1,4.6,2024-1
252,Estadistica y Probabilidad I,5,0.7,2023-1
253,Calculo 1,4,2.7,2024-1
254,Electiva Libre I,4,2.8,2022-1
255,Formacion Ciudadana I : Identidades y Pluralismo,2,0.8,2024-1
256,Ingles 5,4,4.4,2023-1
257,Formacion Ciudadana III: Paz y Convivencia,5,2.2,2022-1
258,Almacenamiento de Datos,4,3.1,2023-3
259,Sistemas Operativos,3,4.8,2022-1
260,Electiva Libre I,1,2.3,2023-1
261,Analitica de Datos,2,2.7,2022-3
262,Electiva de Lectura y Escritura,2,0.2,2023-1
263,Ingles 5,1,4.8,2022-1
264,Electiva Profesional 5,3,3.8,2022-3
265,Ingles 5,4,4.2,2024-1
266,Sistemas Operativos,2,2.4,2022-1
267,Ingles 5,4,0.4,2022-3
268,Calculo 1,1,3.3,2024-1
269,Electiva Profesional 5,3,3.5,2023-1
270,Legislacion y etica en el manejo de datos,2,4.3,2022-3
271,Seguridad de la informacion,3,2.5,2024-1
272,Algebra Lineal,1,1.8,2021-3
273,Administracion para Ingenieros,5,3.9,2021-3
274,Estadistica y Probabilidad II,5,2.8,2022-1
275,Electiva de Ciencias Sociales,1,0.0,2024-1
276,Formacion Ciudadana III: Paz y Convivencia,1,4.0,2023-1
277,Inteligencia Artificial,1,0.8,2023-1
278,Electiva Profesional 4,1,2.8,2021-1
279,Inteligencia Artificial,4,3.4,2022-3
280,Seguridad de la informacion,4,4.6,2024-1
281,Formacion Ciudadana I : Identidades y Pluralismo,1,4.9,2023-1
282,Transformacion y Carga),2,4.2,2021-1
283,Legislacion y etica en el manejo de datos,2,3.9,2021-3
284,Electiva Profesional I,3,1.1,2024-1
285,Estadistica y Probabilidad I,1,2.3,2022-1
286,Innovacion y Emprendimiento,1,1.6,2022-1
287,Estadistica y Probabilidad I,5,1.9,2022-1
288,Matematicas Fundamentales,1,0.4,2021-1
289,Algebra Lineal,2,1.0,2023-1
290,Electiva Profesional 3,2,3.9,2022-1
291,Estadistica y Probabilidad I,3,4.9,2023-3
292,Comunicacion Oral y Escrita,5,4.5,2024-1
293,Comunicacion Oral y Escrita,5,4.3,2023-3
294,Electiva de Lectura y Escritura,3,4.8,2021-1
295,Electiva Profesional 3,1,0.6,2021-1
296,Analitica de Datos,1,4.5,2021-3
297,Comunicacion Oral y Escrita,1,3.0,2022-3
298,Ingles 4,2,2.8,2022-3
299,Calculo 2,1,2.6,2021-1
300,Ingles 3,2,1.0,2022-3
301,Electiva de Ciencias Sociales,3,2.9,2023-1
302,Formacion Ciudadana II: Sociedad y Estado,1,1.9,2024-1
303,Estadistica y Probabilidad II,2,4.0,2023-3
304,Electiva Libre I,1,3.9,2022-3
305,Formacion Ciudadana III: Paz y Convivencia,3,3.9,2024-1
306,Ingles 4,1,2.0,2021-1
307,Programacion,4,0.7,2023-1
308,Electiva Libre I,1,2.3,2022-1
309,Seminario de Ing. de Datos e I.A.,3,1.5,2021-3
310,Ingles 4,1,3.7,2021-1
311,Estadistica y Probabilidad I,2,1.3,2022-3
312,Legislacion y etica en el manejo de datos,4,0.7,2023-3
313,Programacion,1,3.1,2021-3
314,Sistemas Operativos,2,1.0,2021-3
315,Formacion Ciudadana II: Sociedad y Estado,4,1.7,2023-1
316,Electiva de Ciencias Sociales,4,3.0,2023-3
317,Legislacion y etica en el manejo de datos,4,1.1,2022-3
318,Sistemas Operativos,2,0.5,2023-3
319,Innovacion y Emprendimiento,2,3.0,2022-3
320,Administracion para Ingenieros,4,3.5,2023-3
321,Electiva Profesional 3,4,1.9,2021-1
322,Sistemas Operativos,2,2.6,2021-1
323,Electiva Libre I,2,2.4,2023-1
324,Electiva Profesional 3,1,0.7,2021-3
325,Legislacion y etica en el manejo de datos,5,3.3,2024-1
326,Electiva Profesional 4,5,2.1,2021-1
327,Electiva Profesional 2,4,4.1,2021-1
328,Electiva Profesional I,3,5.0,2024-1
329,Formacion Ciudadana II: Sociedad y Estado,2,0.4,2023-1
330,Electiva Profesional 5,2,4.1,2021-3
331,Transformacion y Carga),4,0.2,2023-3
332,Analitica de Datos,1,0.6,2022-1
333,Ingles 2,2,0.2,2022-1
334,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.9,2021-3
335,Formacion Ciudadana I : Identidades y Pluralismo,1,4.9,2023-1
336,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,1.8,2021-3
337,Matematicas Fundamentales,4,2.6,2023-3
338,Calculo 1,2,2.4,2024-1
339,Administracion para Ingenieros,3,2.7,2022-1
340,Seminario de Ing. de Datos e I.A.,4,2.9,2023-3
341,Electiva Profesional 5,2,4.3,2023-1
342,Electiva Libre I,3,1.5,2023-3
343,Electiva Profesional 5,1,0.3,2022-1
344,Seminario de Ing. de Datos e I.A.,1,0.3,2022-3
345,Ingles 5,1,2.4,2023-1
346,Programacion,4,4.8,2022-1
347,Almacenamiento de Datos,3,3.6,2021-3
348,Administracion para Ingenieros,5,2.7,2022-1
349,Electiva de Lectura y Escritura,2,3.2,2024-1
350,Legislacion y etica en el manejo de datos,5,0.4,2022-3
351,Ingles 2,1,2.6,2021-1
352,Redes e Infraestructura,4,4.2,2024-1
353,Electiva Profesional 5,2,4.7,2023-3
354,Innovacion y Emprendimiento,5,1.2,2022-3
355,Transformacion y Carga),4,1.2,2022-1
356,Formacion Ciudadana III: Paz y Convivencia,4,4.5,2021-3
357,Calculo 1,3,2.9,2023-3
358,Ingenieria y Sostenibilidad,4,4.1,2024-1
359,Formacion Ciudadana I : Identidades y Pluralismo,5,4.6,2023-3
360,Electiva Profesional 4,4,3.0,2021-1
361,Formacion Ciudadana II: Sociedad y Estado,5,0.5,2023-3
362,Innovacion y Emprendimiento,5,2.8,2022-1
363,Electiva Libre I,3,4.1,2022-1
364,Comunicacion Oral y Escrita,4,0.5,2023-3
365,Transformacion y Carga),1,4.6,2023-1
366,Innovacion y Emprendimiento,3,4.9,2021-1
367,Electiva Profesional 5,4,2.8,2021-1
368,Ingles 3,1,0.4,2021-1
369,Electiva de Lectura y Escritura,2,3.6,2022-3
370,Formacion Ciudadana II: Sociedad y Estado,3,3.9,2022-3
371,Ingenieria y Sostenibilidad,2,1.7,2022-3
372,Legislacion y etica en el manejo de datos,3,0.8,2022-1
373,Formacion Ciudadana I : Identidades y Pluralismo,5,4.7,2022-3
374,Ingles 3,2,1.7,2021-1
375,Formacion Ciudadana II: Sociedad y Estado,3,4.2,2024-1
376,Electiva de Ciencias Sociales,2,3.3,2022-1
377,Redes e Infraestructura,5,0.8,2022-1
378,Logica y Matematica Discreta,3,3.7,2023-3
379,Electiva Profesional 3,3,3.2,2021-3
380,Electiva Profesional 5,4,0.7,2021-3
381,Analitica de Datos,2,2.0,2024-1
382,Calculo 2,5,4.7,2024-1
383,Seminario de Ing. de Datos e I.A.,4,1.9,2024-1
384,Electiva de Lectura y Escritura,1,2.1,2022-1
385,Ingenieria y Sostenibilidad,3,2.7,2022-3
386,Electiva de Lectura y Escritura,4,0.3,2022-3
387,Formacion Ciudadana III: Paz y Convivencia,2,0.4,2021-1
388,ETL (Extraccion,2,0.2,2023-3
389,Logica y Matematica Discreta,3,2.6,2021-1
390,Electiva Profesional 5,5,3.8,2023-3
391,Electiva Profesional I,1,4.9,2024-1
392,Calculo 1,3,4.9,2021-1
393,Calculo 1,4,2.1,2021-3
394,Sistemas Operativos,2,3.3,2024-1
395,Transformacion y Carga),5,1.1,2024-1
396,Electiva de Ciencias Sociales,3,4.4,2021-3
397,Sistemas Operativos,5,4.6,2023-1
398,Estadistica y Probabilidad I,4,1.7,2021-3
399,Electiva de Ciencias Sociales,4,3.8,2021-3
400,Legislacion y etica en el manejo de datos,4,2.0,2023-1
401,Sistemas Operativos,4,1.3,2022-3
402,Electiva Profesional 4,3,3.4,2023-1
403,Inteligencia Artificial,4,2.6,2022-1
404,Formacion Ciudadana II: Sociedad y Estado,1,2.0,2022-3
405,Formacion Ciudadana III: Paz y Convivencia,1,2.4,2023-1
406,Logica y Matematica Discreta,3,2.9,2023-3
407,Formacion Ciudadana I : Identidades y Pluralismo,2,4.8,2024-1
408,Formacion Ciudadana I : Identidades y Pluralismo,3,0.6,2023-3
409,Calculo 1,5,1.2,2022-3
410,Redes e Infraestructura,4,2.8,2023-1
411,Logica y Matematica Discreta,4,2.3,2022-3
412,Ingenieria y Sostenibilidad,2,0.9,2023-1
413,Ingenieria y Sostenibilidad,4,3.0,2021-1
414,ETL (Extraccion,1,2.3,2024-1
415,Analitica de Datos,5,2.9,2022-3
416,Electiva de Ciencias Sociales,1,3.8,2022-1
417,Ingles 1,3,3.0,2022-3
418,Legislacion y etica en el manejo de datos,5,3.4,2021-3
419,Ingles 3,2,1.4,2022-3
420,ETL (Extraccion,5,0.3,2022-1
421,Electiva de Lectura y Escritura,3,3.3,2023-1
422,Estadistica y Probabilidad II,3,4.6,2023-1
423,ETL (Extraccion,2,1.6,2021-1
424,Innovacion y Emprendimiento,5,2.2,2021-3
425,Ingles 1,3,4.2,2021-1
426,Ingles 1,3,2.3,2023-1
427,Comunicacion Oral y Escrita,3,0.4,2023-3
428,Calculo 2,2,0.8,2022-1
429,Electiva Profesional 5,1,3.5,2021-3
430,Electiva Profesional 3,5,1.1,2022-1
431,Ingles 2,1,2.9,2021-3
432,Inteligencia Artificial,2,2.9,2022-3
433,Ingles 1,1,4.9,2022-1
434,Almacenamiento de Datos,1,2.6,2024-1
435,Comunicacion Oral y Escrita,3,0.8,2022-3
436,Sistemas Operativos,3,1.8,2022-1
437,Analitica de Datos,5,1.4,2021-1
438,Comunicacion Oral y Escrita,5,1.9,2021-1
439,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,1.6,2023-3
440,Electiva Profesional 3,3,4.7,2024-1
441,Electiva Profesional 2,5,4.0,2022-3
442,Electiva de Lectura y Escritura,3,1.5,2022-3
443,Analitica de Datos,3,1.7,2023-3
444,Transformacion y Carga),3,0.1,2021-1
445,Formacion Ciudadana III: Paz y Convivencia,4,3.6,2022-3
446,Electiva Profesional 3,5,3.8,2022-1
447,Logica y Matematica Discreta,3,0.9,2024-1
448,Formacion Ciudadana III: Paz y Convivencia,4,2.3,2022-1
449,Inteligencia Artificial,2,4.4,2023-3
450,Ingles 3,1,2.1,2021-3
451,Matematicas Fundamentales,2,2.6,2023-3
452,Matematicas Fundamentales,4,2.0,2023-1
453,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,5,4.8,2024-1
454,Electiva de Ciencias Sociales,2,1.0,2022-3
455,Electiva Profesional 2,5,4.9,2022-3
456,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.9,2023-3
457,Formacion Ciudadana III: Paz y Convivencia,1,4.0,2021-3
458,Electiva Profesional I,4,2.1,2024-1
459,Ingles 1,5,4.5,2022-3
460,Formacion Ciudadana II: Sociedad y Estado,2,4.2,2023-1
461,Seguridad de la informacion,2,0.9,2022-3
462,Programacion,4,4.5,2022-3
463,Redes e Infraestructura,4,4.1,2023-3
464,Seminario de Ing. de Datos e I.A.,4,2.4,2021-3
465,Ingles 5,3,3.5,2021-3
466,Estadistica y Probabilidad I,5,0.6,2023-1
467,Electiva Libre I,3,0.7,2021-1
468,Electiva Profesional 3,2,1.6,2022-3
469,Legislacion y etica en el manejo de datos,3,2.1,2021-1
470,Administracion para Ingenieros,4,2.9,2024-1
471,Comunicacion Oral y Escrita,3,4.2,2023-1
472,Almacenamiento de Datos,4,4.5,2021-3
473,Inteligencia Artificial,4,4.9,2021-1
474,Calculo 1,1,2.5,2024-1
475,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,2.0,2022-3
476,Formacion Ciudadana II: Sociedad y Estado,2,2.1,2023-1
477,Electiva Profesional I,4,0.5,2022-3
478,Electiva de Lectura y Escritura,5,0.4,2023-3
479,Ingles 2,4,1.2,2022-3
480,Formacion Ciudadana I : Identidades y Pluralismo,4,4.5,2024-1
481,Logica y Matematica Discreta,4,1.0,2022-1
482,Electiva Profesional 4,2,2.7,2023-3
483,Comunicacion Oral y Escrita,4,3.8,2023-1
484,Estadistica y Probabilidad I,1,1.1,2022-1
485,Innovacion y Emprendimiento,1,4.3,2024-1
486,Electiva de Lectura y Escritura,2,2.2,2024-1
487,Almacenamiento de Datos,2,4.5,2023-1
488,Legislacion y etica en el manejo de datos,4,3.8,2021-3
489,Sistemas Operativos,5,4.6,2022-1
490,Electiva Profesional 2,1,3.1,2023-3
491,Ingenieria y Sostenibilidad,5,1.0,2024-1
492,Comunicacion Oral y Escrita,1,2.7,2024-1
493,Matematicas Fundamentales,5,0.1,2021-3
494,Electiva Profesional 4,4,4.4,2023-3
495,Ingles 5,1,1.6,2023-1
496,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,3.3,2022-1
497,Transformacion y Carga),2,2.8,2022-1
498,Almacenamiento de Datos,5,3.7,2021-3
499,Ingles 2,4,2.8,2022-3
500,Electiva Profesional 3,5,4.5,2021-1
501,Electiva Profesional I,3,0.2,2022-3
502,Comunicacion Oral y Escrita,5,3.5,2023-1
503,Programacion,2,1.1,2023-3
504,Electiva Profesional 5,3,3.7,2023-1
505,ETL (Extraccion,5,3.6,2022-3
506,Electiva Profesional 4,1,0.9,2021-3
507,Transformacion y Carga),5,2.1,2021-1
508,Calculo 2,5,3.0,2024-1
509,Formacion Ciudadana I : Identidades y Pluralismo,4,4.0,2021-1
510,Formacion Ciudadana I : Identidades y Pluralismo,4,4.5,2022-3
511,Innovacion y Emprendimiento,1,3.6,2024-1
512,Algebra Lineal,5,1.2,2022-3
513,Redes e Infraestructura,5,2.9,2022-3
514,Sistemas Operativos,4,4.4,2022-3
515,Formacion Ciudadana III: Paz y Convivencia,2,4.8,2021-3
516,Electiva Profesional I,4,2.1,2023-1
517,Algebra Lineal,1,0.1,2021-1
518,Ingles 5,3,1.6,2021-1
519,Electiva de Lectura y Escritura,4,1.6,2023-3
520,Formacion Ciudadana II: Sociedad y Estado,5,0.9,2022-3
521,Inteligencia Artificial,2,2.6,2022-1
522,Electiva Libre I,5,2.4,2021-1
523,Estadistica y Probabilidad I,5,2.6,2023-3
524,Logica y Matematica Discreta,1,3.0,2022-1
525,Transformacion y Carga),3,0.8,2023-3
526,Ingenieria y Sostenibilidad,5,0.1,2022-1
527,Electiva Profesional 2,4,4.3,2023-3
528,Ingles 3,4,1.0,2024-1
529,Algebra Lineal,5,2.0,2023-3
530,ETL (Extraccion,3,1.7,2024-1
531,Logica y Matematica Discreta,1,0.2,2021-3
532,Formacion Ciudadana II: Sociedad y Estado,1,3.2,2021-3
533,Ingles 1,3,0.8,2021-1
534,Programacion,5,0.1,2022-3
535,Almacenamiento de Datos,3,0.0,2022-1
536,Electiva Profesional 5,3,4.3,2023-1
537,Calculo 1,2,1.0,2022-3
538,Ingles 1,2,2.2,2023-3
539,Electiva Profesional I,3,1.0,2022-3
540,Logica y Matematica Discreta,1,4.7,2022-1
541,Ingles 4,2,3.9,2023-1
542,Administracion para Ingenieros,3,4.9,2022-3
543,Formacion Ciudadana II: Sociedad y Estado,2,1.2,2023-3
544,Algebra Lineal,3,0.1,2022-1
