id,nombreCurso,grupo,nota,periodo
216,Formación Ciudadana II: Sociedad y Estado,2,0.4,2024-3
217,Transformación y Carga),2,2.8,2021-3
218,Electiva Profesional 1,2,3.1,2021-3
219,Electiva Profesional 2,4,0.3,2023-3
220,Lógica y Matemática Discreta,2,2.4,2022-3
221,Ingeniería y Sostenibilidad,3,3.6,2022-1
222,Electiva profesional 4,2,3.4,2024-3
223,Transformación y Carga),4,1.4,2021-1
224,Electiva de Lectura y Escritura,2,3.2,2021-3
225,Álgebra lineal,2,0.2,2021-1
226,Ingles 1,4,1.1,2021-3
227,Seminario de Ing. de Datos e IA,1,1.8,2022-3
228,Seguridad de la Información,3,1.7,2022-3
229,Seminario de Ing. de Datos e IA,1,3.2,2021-3
230,Electiva de  Ciencias Sociales,3,4.9,2021-1
231,Redes e Infraestructura,2,4.7,2021-1
232,Ingles 5,4,3.3,2024-1
233,Ingles 4,4,3.9,2023-1
234,Electiva profesional 4,3,1.5,2024-1
235,Ingeniería y Sostenibilidad,1,3.2,2024-3
236,Seminario de Ing. de Datos e IA,2,1.3,2022-1
237,Transformación y Carga),4,3.5,2021-1
238,Lógica y Matemática Discreta,4,2.4,2023-1
239,Electiva profesional 4,1,1.9,2021-1
240,Electiva Profesional 3,1,2.2,2021-1
241,Redes e Infraestructura,3,1.6,2024-1
242,Ingles 5,2,1.7,2022-1
243,Seminario de Ing. de Datos e IA,2,0.3,2021-3
244,Formación Ciudadana II: Sociedad y Estado,1,3.9,2021-3
245,Analítica de Datos,4,0.4,2021-3
246,Electiva Profesional 2,1,2.7,2022-3
247,Introducción a la Ingeniería de Datos e Inteligencia Artificial,4,3.6,2022-3
248,Inteligencia Artificial,2,0.9,2024-1
249,Formación Ciudadana III: Paz y Convivencia,3,3.8,2023-3
250,ETL (Extracción,3,0.2,2022-1
251,Legislación y Ética en el Manejo de Datos,4,0.8,2021-3
252,Comunicación Oral y Escrita,2,2.0,2021-1
253,Innovación y Emprendimiento,3,0.7,2021-3
254,Electiva de  Ciencias Sociales,1,2.3,2024-1
255,Innovación y Emprendimiento,2,1.1,2021-1
256,Electiva Profesional 1,3,3.6,2021-3
257,Formación Ciudadana III: Paz y Convivencia,1,0.6,2021-3
258,Sistemas Operativos,4,4.2,2021-3
259,Electiva Profesional 3,4,3.3,2024-3
260,Ingles 1,2,2.0,2023-3
261,Comunicación Oral y Escrita,2,4.8,2021-1
262,Formación Ciudadana III: Paz y Convivencia,1,2.3,2022-1
263,Electiva Profesional 1,1,1.4,2022-1
264,Ingles 3,4,0.1,2021-1
265,Matemáticas Fundamentales,1,3.7,2022-1
266,Redes e Infraestructura,4,2.6,2024-1
267,Seminario de Ing. de Datos e IA,4,2.1,2021-1
268,Electiva Profesional 1,3,1.8,2022-3
269,Legislación y Ética en el Manejo de Datos,4,4.3,2023-1
270,Programación,1,2.7,2022-1
271,Electiva Profesional 1,1,4.9,2024-3
272,Electiva Profesional 5,1,0.7,2022-3
273,Ingeniería y Sostenibilidad,3,4.9,2023-1
274,Electiva de Lectura y Escritura,2,2.2,2023-3
275,Formación Ciudadana II: Sociedad y Estado,3,2.3,2024-1
276,Formación Ciudadana II: Sociedad y Estado,2,0.1,2021-3
277,Redes e Infraestructura,3,4.1,2022-3
278,Ingles 1,2,0.2,2023-1
279,Programación,3,0.3,2024-3
280,Formación Ciudadana III: Paz y Convivencia,4,2.7,2024-1
281,Ingles 4,3,2.3,2023-1
282,Estadística y Probabilidad I,2,1.6,2022-1
283,Cálculo 1,2,1.2,2022-3
284,Formación Ciudadana I : Identidades y Pluralismo,2,4.7,2023-1
285,Electiva de Lectura y Escritura,3,4.2,2022-3
286,Ingles 2,3,3.3,2021-3
287,Electiva de  Ciencias Sociales,2,3.5,2021-3
288,Estadística y Probabilidad II,2,0.3,2021-1
289,Analítica de Datos,2,4.3,2021-1
290,Cálculo 1,2,0.3,2024-3
291,Ingles 5,2,4.4,2024-3
292,Electiva de  Ciencias Sociales,4,4.6,2023-1
293,Electiva Libre I,3,0.3,2024-1
294,Seminario de Ing. de Datos e IA,2,3.4,2022-1
295,Lógica y Matemática Discreta,4,3.1,2024-1
296,Almacenamiento de datos,1,3.9,2022-1
297,Estadística y Probabilidad II,1,2.3,2022-1
298,Formación Ciudadana II: Sociedad y Estado,3,4.1,2024-1
299,Electiva de  Ciencias Sociales,1,2.1,2021-3
300,Comunicación Oral y Escrita,1,2.1,2021-3
301,ETL (Extracción,4,3.1,2023-3
302,Electiva Profesional 1,4,0.8,2024-1
303,Ingles 3,4,2.3,2022-1
304,Formación Ciudadana III: Paz y Convivencia,2,2.7,2021-1
305,Electiva de  Ciencias Sociales,3,2.2,2024-1
306,Lógica y Matemática Discreta,2,1.4,2021-1
307,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,0.7,2022-1
308,Innovación y Emprendimiento,4,1.0,2022-3
309,Ingles 3,4,3.7,2024-1
310,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3,2.0,2023-1
311,Sistemas Operativos,4,4.0,2024-3
312,Legislación y Ética en el Manejo de Datos,4,0.5,2023-3
313,Ingeniería y Sostenibilidad,1,0.8,2022-3
314,Estadística y Probabilidad II,3,4.9,2022-1
315,Cálculo 2,1,2.3,2022-1
316,Cálculo 2,2,2.0,2024-1
317,Electiva de  Ciencias Sociales,1,0.5,2022-3
318,Innovación y Emprendimiento,4,4.4,2024-1
319,Inteligencia Artificial,3,2.8,2024-3
320,Formación Ciudadana III: Paz y Convivencia,2,3.0,2024-1
321,Estadística y Probabilidad I,2,3.1,2023-1
322,Legislación y Ética en el Manejo de Datos,3,1.0,2021-1
323,Electiva Profesional 5,4,0.3,2022-1
324,Formación Ciudadana III: Paz y Convivencia,4,4.5,2022-3
325,Álgebra lineal,4,1.4,2024-3
326,Seguridad de la Información,4,1.7,2022-1
327,Ingles 2,1,0.6,2023-1
328,Formación Ciudadana III: Paz y Convivencia,1,4.1,2023-1
329,Sistemas Operativos,1,1.0,2021-3
330,Formación Ciudadana I : Identidades y Pluralismo,2,3.8,2022-1
331,Programación,4,4.7,2024-3
332,Electiva Profesional 5,2,1.7,2022-3
333,Introducción a la Ingeniería de Datos e Inteligencia Artificial,4,0.2,2022-3
334,Álgebra lineal,4,4.2,2022-3
335,Estadística y Probabilidad I,1,4.3,2023-3
336,Ingles 3,4,2.1,2023-1
337,Almacenamiento de datos,4,3.6,2024-3
338,Matemáticas Fundamentales,3,3.6,2024-3
339,Lógica y Matemática Discreta,2,2.2,2024-1
340,Seguridad de la Información,4,4.6,2024-1
341,Almacenamiento de datos,3,2.1,2022-1
342,Legislación y Ética en el Manejo de Datos,4,2.0,2024-3
343,Electiva Profesional 2,3,0.5,2022-3
344,Lógica y Matemática Discreta,1,3.9,2023-1
345,Estadística y Probabilidad II,2,3.1,2024-3
346,Electiva Profesional 3,4,2.4,2023-1
347,Ingles 3,3,0.7,2023-3
348,Electiva de Lectura y Escritura,4,1.7,2022-1
349,Electiva Profesional 5,3,1.6,2021-3
350,Analítica de Datos,3,2.7,2021-1
351,Ingles 2,3,1.0,2021-3
352,Transformación y Carga),3,4.5,2023-1
353,Álgebra lineal,2,1.9,2024-1
354,Innovación y Emprendimiento,2,1.0,2022-3
355,Matemáticas Fundamentales,3,3.5,2024-1
356,Seguridad de la Información,2,4.9,2021-1
357,Introducción a la Ingeniería de Datos e Inteligencia Artificial,1,2.7,2023-3
358,Ingles 4,1,3.6,2021-1
359,Administración para Ingenieros,1,4.7,2024-1
360,Lógica y Matemática Discreta,4,3.4,2021-1
361,Formación Ciudadana I : Identidades y Pluralismo,1,3.7,2022-3
362,Electiva de Lectura y Escritura,2,4.0,2023-1
363,Programación,3,2.2,2024-3
364,Comunicación Oral y Escrita,4,0.0,2022-3
365,Innovación y Emprendimiento,2,1.2,2021-3
366,Ingles 3,4,3.7,2023-3
367,Electiva profesional 4,2,1.7,2023-3
368,Seguridad de la Información,1,1.2,2022-1
369,Analítica de Datos,1,2.0,2022-3
370,Ingeniería y Sostenibilidad,2,4.9,2021-3
371,Electiva Libre I,3,4.9,2023-1
372,Ingles 1,2,0.1,2023-3
373,Innovación y Emprendimiento,3,4.4,2023-1
374,Sistemas Operativos,3,1.0,2021-1
375,Almacenamiento de datos,4,2.4,2021-1
376,Ingles 5,2,0.9,2023-1
377,Comunicación Oral y Escrita,2,1.2,2024-1
378,Matemáticas Fundamentales,2,3.1,2023-3
379,Ingles 5,3,2.8,2023-1
380,Almacenamiento de datos,3,2.3,2024-1
381,Electiva Libre I,1,3.1,2021-1
382,Seguridad de la Información,2,1.9,2024-3
383,Estadística y Probabilidad II,1,2.6,2023-1
384,Electiva Profesional 2,2,1.8,2021-1
385,Lógica y Matemática Discreta,1,0.5,2021-3
386,Electiva de  Ciencias Sociales,1,2.4,2024-1
387,Ingles 2,1,4.6,2023-1
388,Formación Ciudadana III: Paz y Convivencia,3,1.3,2021-3
389,Ingles 4,1,2.9,2023-1
390,Electiva Profesional 5,2,3.6,2021-3
391,Cálculo 1,3,3.2,2021-1
392,Ingeniería y Sostenibilidad,4,2.6,2022-3
393,Electiva de Lectura y Escritura,4,3.7,2024-3
394,Matemáticas Fundamentales,1,3.9,2022-1
395,Innovación y Emprendimiento,2,3.5,2022-1
396,Ingles 2,2,3.5,2022-1
397,Transformación y Carga),2,3.4,2023-1
398,Electiva Libre I,3,3.3,2024-1
399,Álgebra lineal,3,3.9,2024-1
400,Electiva de Lectura y Escritura,3,3.5,2023-3
401,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,0.6,2022-1
402,Redes e Infraestructura,1,1.7,2021-3
403,ETL (Extracción,1,1.9,2021-3
404,Estadística y Probabilidad II,3,3.8,2022-1
405,Formación Ciudadana I : Identidades y Pluralismo,2,1.2,2022-1
406,Formación Ciudadana II: Sociedad y Estado,1,4.7,2023-3
407,Matemáticas Fundamentales,2,0.9,2023-3
408,ETL (Extracción,3,2.8,2024-3
409,Electiva Profesional 5,4,3.8,2023-1
410,Ingles 2,2,2.1,2021-3
411,Ingeniería y Sostenibilidad,3,0.5,2021-3
412,Redes e Infraestructura,2,3.2,2021-1
413,Formación Ciudadana III: Paz y Convivencia,2,4.1,2023-3
414,Electiva profesional 4,4,2.5,2022-1
415,Formación Ciudadana I : Identidades y Pluralismo,3,2.7,2023-1
416,Innovación y Emprendimiento,3,0.4,2023-1
417,Innovación y Emprendimiento,3,0.4,2023-3
418,Legislación y Ética en el Manejo de Datos,1,3.2,2022-1
419,Formación Ciudadana III: Paz y Convivencia,1,4.8,2024-3
420,Electiva Profesional 2,4,0.4,2024-3
421,Ingles 5,1,3.3,2022-1
422,Administración para Ingenieros,3,4.1,2024-3
423,Seminario de Ing. de Datos e IA,1,0.3,2024-1
424,Ingeniería y Sostenibilidad,3,2.8,2024-1
425,Electiva Libre I,1,3.3,2021-1
426,Ingles 3,1,0.9,2021-3
427,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3,4.8,2022-1
428,Redes e Infraestructura,2,2.1,2022-3
429,Ingles 1,2,4.7,2022-1
430,Formación Ciudadana I : Identidades y Pluralismo,3,0.3,2024-3
431,Innovación y Emprendimiento,1,1.3,2021-1
432,Electiva de  Ciencias Sociales,1,4.3,2023-1
433,Seguridad de la Información,1,1.5,2022-1
434,Cálculo 2,2,2.9,2023-1
435,Ingles 2,1,0.3,2021-1
436,Ingles 2,4,1.7,2022-1
437,Innovación y Emprendimiento,1,2.3,2023-3
438,Álgebra lineal,4,4.4,2024-1
439,Cálculo 1,3,0.1,2022-3
440,Álgebra lineal,4,4.3,2021-1
441,Legislación y Ética en el Manejo de Datos,1,1.7,2021-3
442,Estadística y Probabilidad I,3,0.8,2024-1
443,Electiva Profesional 5,4,0.7,2021-3
444,Comunicación Oral y Escrita,1,1.1,2023-3
445,Matemáticas Fundamentales,1,2.7,2022-1
446,Estadística y Probabilidad II,4,0.8,2021-3
447,Electiva Profesional 3,1,4.8,2021-3
448,Cálculo 1,2,2.5,2024-3
449,Matemáticas Fundamentales,3,2.5,2023-3
450,Electiva Profesional 2,1,1.8,2022-1
451,Seminario de Ing. de Datos e IA,3,3.2,2022-3
452,Electiva Profesional 3,3,2.7,2021-3
453,Ingles 4,2,3.9,2024-3
454,Ingles 1,3,0.2,2023-3
455,Formación Ciudadana II: Sociedad y Estado,4,5.0,2023-1
456,Formación Ciudadana I : Identidades y Pluralismo,2,1.7,2024-3
457,Lógica y Matemática Discreta,3,3.7,2022-3
458,Formación Ciudadana II: Sociedad y Estado,1,2.7,2024-1
459,Formación Ciudadana I : Identidades y Pluralismo,2,3.6,2023-3
460,Comunicación Oral y Escrita,4,2.6,2021-3
461,Ingles 3,3,4.5,2024-3
462,Formación Ciudadana II: Sociedad y Estado,1,2.2,2022-3
463,Ingles 1,2,2.2,2024-3
464,Comunicación Oral y Escrita,3,4.9,2023-1
465,Estadística y Probabilidad I,2,0.1,2023-1
466,Electiva Libre I,3,0.3,2023-1
467,Comunicación Oral y Escrita,4,0.8,2022-1
468,ETL (Extracción,3,2.1,2022-1
469,Electiva de  Ciencias Sociales,2,2.6,2022-3
470,Seguridad de la Información,3,0.4,2024-3
471,Electiva Profesional 3,4,4.2,2022-3
472,Introducción a la Ingeniería de Datos e Inteligencia Artificial,3,4.2,2021-1
473,Formación Ciudadana II: Sociedad y Estado,3,0.3,2024-3
474,Electiva Profesional 3,1,2.1,2021-1
475,Programación,4,2.5,2023-3
476,Estadística y Probabilidad I,4,2.3,2021-1
477,Administración para Ingenieros,4,5.0,2024-1
478,Analítica de Datos,2,3.8,2023-3
479,Estadística y Probabilidad II,4,4.7,2024-3
480,Matemáticas Fundamentales,3,2.5,2024-1
481,Cálculo 2,3,2.3,2022-1
482,Matemáticas Fundamentales,2,0.6,2021-3
483,Seguridad de la Información,4,2.1,2021-3
484,Inteligencia Artificial,4,3.7,2023-1
485,Ingles 1,1,3.8,2021-1
486,Álgebra lineal,3,5.0,2021-1
487,Inteligencia Artificial,4,4.0,2024-1
488,Electiva Profesional 3,4,1.2,2023-1
489,Ingles 3,1,3.4,2022-1
490,Electiva de Lectura y Escritura,4,2.2,2022-1
491,Analítica de Datos,1,4.0,2022-1
492,Programación,2,1.6,2022-1
493,Estadística y Probabilidad II,3,0.0,2021-3
494,Ingles 3,1,4.8,2021-1
495,Formación Ciudadana I : Identidades y Pluralismo,2,3.4,2021-3
496,Formación Ciudadana III: Paz y Convivencia,1,3.6,2021-1
497,Electiva Profesional 1,2,3.7,2023-3
498,Seminario de Ing. de Datos e IA,2,0.3,2022-1
499,Formación Ciudadana II: Sociedad y Estado,2,0.1,2021-3
500,ETL (Extracción,2,0.3,2021-3
501,Electiva Libre I,4,3.7,2022-1
502,Seminario de Ing. de Datos e IA,3,3.3,2021-3
503,Formación Ciudadana III: Paz y Convivencia,3,4.4,2022-1
504,Álgebra lineal,3,2.3,2022-3
505,Electiva de  Ciencias Sociales,2,1.7,2024-3
506,Sistemas Operativos,3,2.7,2023-3
507,Electiva de Lectura y Escritura,3,4.9,2022-3
508,Comunicación Oral y Escrita,4,3.8,2021-3
509,Electiva de Lectura y Escritura,1,1.4,2022-1
510,Estadística y Probabilidad I,3,3.0,2021-3
511,Electiva Libre I,4,4.5,2021-3
512,Seminario de Ing. de Datos e IA,1,0.2,2023-3
513,Estadística y Probabilidad II,4,1.9,2024-1
514,Lógica y Matemática Discreta,3,0.2,2023-1
515,Electiva de  Ciencias Sociales,3,4.4,2022-1
516,Ingles 2,4,4.6,2021-1
517,Programación,1,0.0,2024-3
518,Analítica de Datos,4,2.3,2023-3
519,Seminario de Ing. de Datos e IA,2,0.6,2024-1
520,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,3.8,2022-3
521,Formación Ciudadana III: Paz y Convivencia,3,0.3,2021-1
522,Ingles 5,3,0.9,2023-3
523,Cálculo 2,4,0.7,2024-1
524,Administración para Ingenieros,2,1.4,2021-1
525,Programación,2,0.9,2022-3
526,Ingles 1,4,0.4,2021-1
527,Transformación y Carga),1,4.5,2023-3
528,Ingeniería y Sostenibilidad,1,0.8,2024-3
529,Electiva Profesional 3,1,0.2,2021-3
530,Programación,2,4.9,2022-3
531,Electiva de  Ciencias Sociales,3,2.8,2024-1
532,Electiva Profesional 1,3,0.5,2023-3
533,Lógica y Matemática Discreta,2,4.0,2021-3
534,Ingles 3,2,0.8,2021-1
535,Ingles 2,1,2.8,2022-1
536,Introducción a la Ingeniería de Datos e Inteligencia Artificial,2,2.6,2022-3
537,Seguridad de la Información,1,1.2,2023-3
538,Legislación y Ética en el Manejo de Datos,1,2.2,2024-1
539,Ingles 3,2,1.1,2023-3
540,Comunicación Oral y Escrita,1,4.6,2023-3
541,Programación,4,3.1,2024-3
542,Ingles 5,3,2.7,2021-3
543,Inteligencia Artificial,1,3.9,2023-1
544,Inteligencia Artificial,2,0.1,2022-3
545,Ingles 1,3,4.8,2021-3
