id,nombreCurso,grupo,nota,periodo
57,Electiva Profesional 4,5,3.2,2023-1
58,ETL (Extraccion Transformacion y Carga),2,0.4,2023-1
59,Formacion Ciudadana II: Sociedad y Estado,1,0.7,2023-1
60,Administracion para Ingenieros,2,2.0,2023-3
61,Inteligencia Artificial,3,3.8,2022-1
62,Innovacion y Emprendimiento,2,4.9,2021-1
63,Logica y Matematica Discreta,1,4.3,2021-1
64,Comunicacion Oral y Escrita,3,4.3,2023-3
65,Electiva Profesional 2,5,4.8,2024-1
66,Redes e Infraestructura,5,4.6,2023-1
67,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,4.3,2024-1
68,Inteligencia Artificial,5,4.8,2022-1
69,Electiva Profesional 2,2,0.2,2022-1
70,Electiva Profesional 5,4,4.8,2023-3
71,Redes e Infraestructura,3,0.0,2021-3
72,Formacion Ciudadana II: Sociedad y Estado,4,0.6,2023-1
73,Electiva de Lectura y Escritura,2,3.1,2023-1
74,Ingles 4,1,2.2,2024-1
75,Ingles 4,1,4.8,2022-3
76,Electiva Profesional 4,2,3.7,2023-1
77,Calculo 2,2,3.5,2023-1
78,Electiva Profesional 5,4,2.2,2022-1
79,Electiva de Ciencias Sociales,4,0.5,2021-1
80,Almacenamiento de Datos,3,2.3,2021-3
81,Ingenieria y Sostenibilidad,2,0.0,2021-3
82,ETL (Extraccion Transformacion y Carga),4,3.9,2022-3
83,Electiva Libre I,2,4.1,2023-3
84,Electiva de Ciencias Sociales,3,4.6,2023-1
85,Administracion para Ingenieros,4,3.0,2021-3
86,Electiva Profesional 4,1,2.0,2022-1
87,Ingenieria y Sostenibilidad,3,0.9,2021-3
88,Administracion para Ingenieros,5,2.6,2023-3
89,Electiva Profesional I,1,3.7,2024-1
90,Algebra Lineal,1,2.4,2023-3
91,Calculo 1,4,3.2,2022-1
92,Matematicas Fundamentales,2,4.1,2021-3
93,Electiva de Ciencias Sociales,4,4.5,2022-3
94,Almacenamiento de Datos,1,4.1,2024-1
95,Matematicas Fundamentales,3,3.8,2024-1
96,Electiva Libre I,2,2.6,2023-1
97,Calculo 1,4,3.2,2024-1
98,Electiva Profesional I,1,2.1,2024-1
99,Ingenieria y Sostenibilidad,5,4.3,2023-3
100,Legislacion y etica en el manejo de datos,2,1.2,2024-1
101,Ingles 1,5,2.4,2023-3
102,ETL (Extraccion Transformacion y Carga),1,0.8,2024-1
103,Calculo 1,4,4.0,2021-1
104,Logica y Matematica Discreta,4,3.1,2023-3
105,Formacion Ciudadana III: Paz y Convivencia,1,2.0,2022-3
106,Electiva Profesional I,5,0.1,2022-3
107,Formacion Ciudadana II: Sociedad y Estado,3,0.3,2024-1
108,Formacion Ciudadana III: Paz y Convivencia,3,0.8,2023-1
109,Ingles 3,1,2.0,2022-3
110,Electiva Profesional 2,3,1.4,2022-1
111,Seguridad de la informacion,1,2.0,2023-1
112,Programacion,1,3.9,2024-1
113,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,4,0.0,2021-1
114,Sistemas Operativos,4,0.1,2022-3
115,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,5,2.4,2021-1
116,Comunicacion Oral y Escrita,4,3.5,2023-1
117,Redes e Infraestructura,5,0.3,2022-1
118,Ingles 1,3,2.9,2021-1
119,Sistemas Operativos,5,2.1,2023-1
120,Analitica de Datos,2,3.3,2021-3
121,Estadistica y Probabilidad II,2,3.6,2022-3
122,Logica y Matematica Discreta,5,3.6,2023-1
123,Almacenamiento de Datos,1,2.0,2024-1
124,Ingles 3,1,3.7,2021-3
125,Calculo 2,2,1.7,2022-1
126,Electiva Profesional 2,3,0.0,2021-3
127,Innovacion y Emprendimiento,3,0.7,2022-1
128,Estadistica y Probabilidad I,1,3.9,2022-1
129,Analitica de Datos,1,2.8,2022-3
130,Ingles 3,1,2.8,2021-1
131,Formacion Ciudadana I : Identidades y Pluralismo,2,4.1,2022-3
132,Programacion,5,3.9,2022-3
133,Matematicas Fundamentales,2,1.7,2022-1
134,Algebra Lineal,1,0.6,2023-3
135,Estadistica y Probabilidad I,3,1.5,2022-3
136,Calculo 2,4,3.6,2023-3
137,Ingles 3,1,3.6,2024-1
138,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.3,2022-3
139,Administracion para Ingenieros,2,2.3,2024-1
140,Legislacion y etica en el manejo de datos,2,4.1,2021-1
141,Estadistica y Probabilidad II,2,3.0,2022-1
142,Calculo 2,1,1.6,2024-1
143,Electiva Libre I,5,1.2,2023-3
144,Calculo 1,1,0.0,2022-1
145,Electiva de Lectura y Escritura,1,5.0,2022-3
146,Ingenieria y Sostenibilidad,2,0.2,2021-3
147,Electiva de Ciencias Sociales,3,1.1,2023-3
148,Formacion Ciudadana III: Paz y Convivencia,5,4.8,2022-3
149,Redes e Infraestructura,2,4.2,2024-1
150,Seminario de Ing. de Datos e I.A.,3,1.1,2022-3
151,Ingles 5,4,1.4,2023-1
152,Calculo 2,1,3.7,2024-1
153,Ingenieria y Sostenibilidad,2,4.3,2022-1
154,ETL (Extraccion Transformacion y Carga),5,4.1,2022-3
155,Estadistica y Probabilidad I,1,4.2,2022-1
156,Seminario de Ing. de Datos e I.A.,3,0.5,2022-1
157,Ingles 1,4,1.0,2021-3
158,Programacion,4,1.1,2022-1
159,Innovacion y Emprendimiento,4,2.3,2023-1
160,Seminario de Ing. de Datos e I.A.,4,2.2,2023-1
161,Electiva Profesional I,3,0.6,2023-3
162,ETL (Extraccion Transformacion y Carga),1,1.2,2024-1
163,Ingles 4,5,1.7,2023-3
164,Redes e Infraestructura,1,0.7,2022-3
165,Administracion para Ingenieros,5,0.4,2021-3
166,Algebra Lineal,2,2.2,2021-1
167,Ingles 2,5,3.0,2022-1
168,Algebra Lineal,2,1.2,2024-1
169,Formacion Ciudadana I : Identidades y Pluralismo,4,1.5,2022-3
170,Sistemas Operativos,1,3.6,2021-1
171,Formacion Ciudadana III: Paz y Convivencia,2,0.1,2021-3
172,Analitica de Datos,5,3.0,2021-1
173,Administracion para Ingenieros,4,2.5,2023-3
174,Ingenieria y Sostenibilidad,4,2.0,2021-3
175,Seguridad de la informacion,4,0.6,2021-1
176,Ingles 3,5,2.9,2024-1
177,Inteligencia Artificial,1,1.9,2022-3
178,Ingles 2,5,4.8,2024-1
179,Redes e Infraestructura,5,1.1,2021-1
180,Inteligencia Artificial,4,4.4,2021-3
181,Matematicas Fundamentales,4,1.7,2023-1
182,Redes e Infraestructura,1,3.5,2023-3
183,Matematicas Fundamentales,4,2.9,2021-1
184,Formacion Ciudadana I : Identidades y Pluralismo,3,1.1,2023-3
185,Ingles 5,4,1.8,2023-1
186,Ingles 1,1,3.9,2021-3
187,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,0.7,2021-1
188,Matematicas Fundamentales,5,0.8,2021-1
189,Ingles 1,5,4.1,2023-1
190,Electiva Profesional 5,2,1.8,2021-1
191,Seguridad de la informacion,1,1.9,2022-1
192,Ingles 5,4,2.8,2023-3
193,Redes e Infraestructura,3,2.2,2022-1
194,Calculo 2,4,2.4,2022-3
195,Ingles 5,5,2.0,2022-1
196,Seguridad de la informacion,5,2.9,2022-1
197,Seminario de Ing. de Datos e I.A.,5,1.3,2021-3
198,Electiva de Ciencias Sociales,4,0.7,2023-3
199,Administracion para Ingenieros,5,1.0,2023-3
200,Formacion Ciudadana II: Sociedad y Estado,2,1.7,2023-1
201,Inteligencia Artificial,3,4.0,2024-1
202,Estadistica y Probabilidad I,4,4.9,2023-1
203,Electiva Profesional 2,3,1.6,2022-1
204,Programacion,5,2.5,2024-1
205,Calculo 2,2,3.2,2021-1
206,Estadistica y Probabilidad I,5,2.9,2022-1
207,Electiva Profesional 5,5,5.0,2022-3
208,Almacenamiento de Datos,1,3.0,2022-1
209,Calculo 1,2,3.5,2021-3
210,Estadistica y Probabilidad II,4,1.1,2022-3
211,Calculo 2,3,2.9,2022-1
212,Ingles 5,5,0.8,2022-3
213,Ingles 5,4,4.6,2023-3
214,Analitica de Datos,1,1.3,2024-1
215,Formacion Ciudadana III: Paz y Convivencia,2,2.2,2021-3
216,Comunicacion Oral y Escrita,3,4.5,2023-3
217,Calculo 1,5,1.3,2021-1
218,Calculo 2,1,1.9,2023-3
219,Almacenamiento de Datos,4,3.4,2023-1
220,Electiva Profesional 4,2,3.2,2022-3
221,Innovacion y Emprendimiento,4,1.2,2021-3
222,Electiva Libre I,1,1.4,2022-1
223,Electiva Profesional 5,1,4.8,2021-3
224,Ingles 2,5,2.3,2021-3
225,Calculo 2,5,3.5,2021-1
226,Legislacion y etica en el manejo de datos,2,1.4,2022-1
227,Algebra Lineal,5,4.2,2022-3
228,Calculo 1,5,4.6,2022-1
229,Electiva de Ciencias Sociales,4,4.5,2021-3
230,Logica y Matematica Discreta,2,3.9,2024-1
231,Almacenamiento de Datos,4,2.4,2021-1
232,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.4,2024-1
233,Calculo 1,5,0.8,2024-1
234,Electiva de Ciencias Sociales,3,1.8,2022-3
235,Inteligencia Artificial,4,3.5,2023-1
236,Sistemas Operativos,4,1.4,2021-3
237,Redes e Infraestructura,1,0.2,2023-3
238,Almacenamiento de Datos,3,0.4,2022-3
239,Calculo 1,4,3.0,2024-1
240,Sistemas Operativos,2,0.1,2024-1
241,Calculo 2,2,3.4,2021-3
242,Estadistica y Probabilidad I,5,1.4,2023-3
243,Algebra Lineal,3,5.0,2024-1
244,Ingenieria y Sostenibilidad,5,1.7,2022-1
245,Electiva Libre I,5,1.8,2023-1
246,Electiva Libre I,1,1.9,2021-1
247,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,4.1,2023-3
248,Almacenamiento de Datos,3,3.6,2023-1
249,Inteligencia Artificial,2,1.6,2021-3
250,Electiva Profesional 3,5,2.6,2022-3
251,Logica y Matematica Discreta,2,4.4,2022-1
252,Electiva Profesional 5,1,3.1,2024-1
253,Formacion Ciudadana III: Paz y Convivencia,2,1.6,2023-1
254,Matematicas Fundamentales,4,0.6,2021-3
255,ETL (Extraccion Transformacion y Carga),5,0.7,2023-3
256,Formacion Ciudadana III: Paz y Convivencia,4,3.9,2021-3
257,Ingles 5,2,0.4,2024-1
258,Seminario de Ing. de Datos e I.A.,1,1.3,2023-1
259,Ingles 3,2,3.1,2023-3
260,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,4.9,2021-3
261,Comunicacion Oral y Escrita,2,2.3,2021-1
262,Legislacion y etica en el manejo de datos,4,2.5,2022-1
263,Almacenamiento de Datos,1,2.6,2022-3
264,Formacion Ciudadana I : Identidades y Pluralismo,3,0.6,2024-1
265,Estadistica y Probabilidad I,3,0.1,2023-3
266,Formacion Ciudadana III: Paz y Convivencia,4,2.3,2022-3
267,Innovacion y Emprendimiento,3,0.8,2024-1
268,Electiva Profesional I,1,1.9,2022-3
269,Administracion para Ingenieros,1,0.8,2024-1
270,Electiva Profesional 5,1,3.9,2021-3
271,Comunicacion Oral y Escrita,3,4.7,2023-1
272,Comunicacion Oral y Escrita,5,3.5,2021-1
273,Innovacion y Emprendimiento,1,4.6,2023-3
274,Electiva de Lectura y Escritura,2,3.3,2022-1
275,Sistemas Operativos,3,1.6,2021-3
276,Electiva Libre I,3,0.0,2023-3
277,Electiva Profesional 2,3,2.6,2023-1
278,Formacion Ciudadana I : Identidades y Pluralismo,3,2.5,2021-3
279,Ingenieria y Sostenibilidad,5,0.2,2023-1
280,Administracion para Ingenieros,3,1.3,2022-3
281,Seminario de Ing. de Datos e I.A.,2,2.1,2024-1
282,Administracion para Ingenieros,3,3.3,2023-3
283,Electiva Profesional I,4,0.4,2021-3
284,Inteligencia Artificial,4,3.4,2024-1
285,Sistemas Operativos,5,2.0,2023-1
286,Analitica de Datos,1,2.2,2023-1
287,Programacion,3,2.2,2021-3
288,Algebra Lineal,1,1.4,2024-1
289,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.3,2023-3
290,Almacenamiento de Datos,1,0.3,2021-3
291,Electiva Profesional 5,3,1.4,2022-1
292,Programacion,2,0.1,2021-1
293,Electiva Profesional 4,5,2.6,2021-1
294,Matematicas Fundamentales,5,3.0,2021-1
295,Formacion Ciudadana III: Paz y Convivencia,5,4.7,2024-1
296,Inteligencia Artificial,3,1.1,2023-1
297,Electiva Libre I,4,1.3,2022-1
298,Administracion para Ingenieros,1,2.8,2024-1
299,Electiva de Ciencias Sociales,2,2.0,2023-1
300,Analitica de Datos,4,2.6,2023-3
301,Legislacion y etica en el manejo de datos,2,0.8,2022-1
302,Ingles 3,5,0.9,2022-3
303,Estadistica y Probabilidad I,5,1.2,2024-1
304,Electiva Profesional 4,3,1.0,2021-3
305,Electiva Libre I,1,3.2,2021-1
306,Ingles 5,5,2.4,2023-1
307,Electiva Libre I,2,3.3,2021-1
308,Calculo 1,1,3.9,2023-3
309,Estadistica y Probabilidad II,4,1.6,2022-1
310,Innovacion y Emprendimiento,3,4.6,2022-1
311,Legislacion y etica en el manejo de datos,1,4.5,2022-3
312,Electiva de Ciencias Sociales,3,0.8,2021-3
313,Formacion Ciudadana III: Paz y Convivencia,1,0.4,2023-3
314,Seminario de Ing. de Datos e I.A.,3,1.0,2023-1
315,Ingles 5,4,2.9,2023-1
316,Ingles 1,1,0.5,2022-1
317,Ingles 4,1,1.6,2021-1
318,Calculo 1,1,4.7,2023-1
319,Estadistica y Probabilidad II,1,3.2,2022-1
320,Estadistica y Probabilidad I,3,2.6,2022-3
321,ETL (Extraccion Transformacion y Carga),2,1.6,2021-3
322,Legislacion y etica en el manejo de datos,2,0.1,2023-1
323,Redes e Infraestructura,1,0.1,2023-3
324,Redes e Infraestructura,2,3.0,2022-3
325,Ingles 1,5,3.1,2023-1
326,Estadistica y Probabilidad II,3,0.2,2022-1
327,Administracion para Ingenieros,5,3.6,2021-3
328,Redes e Infraestructura,2,3.8,2023-1
329,Logica y Matematica Discreta,3,1.3,2022-1
330,Administracion para Ingenieros,1,4.9,2021-1
331,Comunicacion Oral y Escrita,1,1.5,2021-1
332,Electiva Profesional 2,3,1.8,2024-1
333,Analitica de Datos,1,0.5,2021-3
334,Seminario de Ing. de Datos e I.A.,2,1.1,2021-1
335,Calculo 2,1,1.7,2021-1
336,Ingles 4,5,2.3,2021-1
337,Electiva Profesional I,4,1.1,2021-3
338,Algebra Lineal,1,4.1,2021-1
339,Almacenamiento de Datos,1,3.5,2023-3
340,Comunicacion Oral y Escrita,5,1.5,2023-1
341,Sistemas Operativos,3,0.9,2022-1
342,Electiva de Ciencias Sociales,1,3.4,2023-1
343,Electiva de Ciencias Sociales,1,3.4,2024-1
344,Formacion Ciudadana I : Identidades y Pluralismo,3,0.3,2021-1
345,Formacion Ciudadana II: Sociedad y Estado,3,3.8,2021-3
346,Electiva Profesional 2,2,3.4,2022-3
347,Formacion Ciudadana III: Paz y Convivencia,1,2.7,2021-3
348,Seminario de Ing. de Datos e I.A.,3,4.4,2024-1
349,Ingles 5,5,2.2,2021-3
350,Electiva Profesional 4,3,0.7,2024-1
351,Seguridad de la informacion,3,2.4,2023-1
352,Comunicacion Oral y Escrita,4,4.4,2023-1
353,Formacion Ciudadana I : Identidades y Pluralismo,1,0.6,2023-1
354,Algebra Lineal,1,2.7,2021-3
355,Seguridad de la informacion,5,0.4,2024-1
356,Administracion para Ingenieros,4,1.8,2023-1
357,Matematicas Fundamentales,1,2.2,2022-3
358,Electiva Profesional 3,1,4.5,2022-3
359,Calculo 1,1,2.0,2022-1
360,Ingles 4,3,3.3,2021-3
361,Algebra Lineal,5,2.2,2022-3
362,Seguridad de la informacion,1,1.1,2023-1
363,Almacenamiento de Datos,3,2.7,2021-1
364,Electiva Profesional 2,2,4.2,2021-1
365,Electiva Profesional 4,2,3.7,2023-1
366,Electiva Profesional 4,3,2.4,2023-1
367,Electiva de Ciencias Sociales,5,0.9,2021-3
368,Electiva Profesional 4,5,3.1,2022-3
369,Ingles 5,5,0.7,2023-1
370,Formacion Ciudadana III: Paz y Convivencia,3,2.8,2023-3
371,Comunicacion Oral y Escrita,5,3.2,2023-3
372,Electiva Profesional 4,3,4.8,2023-1
373,Matematicas Fundamentales,4,3.0,2022-1
374,ETL (Extraccion Transformacion y Carga),4,0.9,2023-1
375,Formacion Ciudadana III: Paz y Convivencia,5,3.5,2024-1
376,ETL (Extraccion Transformacion y Carga),1,3.7,2023-1
377,Ingles 5,3,2.2,2022-1
378,Electiva Profesional 2,4,2.1,2021-3
379,Administracion para Ingenieros,5,0.9,2023-1
380,Formacion Ciudadana II: Sociedad y Estado,5,1.9,2021-3
381,Algebra Lineal,1,3.6,2021-1
382,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,4.9,2023-3
383,Algebra Lineal,3,1.9,2021-3
384,Electiva Profesional I,3,3.5,2021-1
385,Formacion Ciudadana I : Identidades y Pluralismo,2,0.5,2021-3
386,Matematicas Fundamentales,5,3.4,2021-3
387,Electiva Profesional 3,4,1.0,2023-3
388,Formacion Ciudadana I : Identidades y Pluralismo,1,4.8,2024-1
389,Ingles 2,5,4.5,2021-1
390,Electiva de Ciencias Sociales,4,0.1,2021-3
391,Ingles 5,1,4.6,2022-3
392,Seguridad de la informacion,2,0.4,2022-1
393,Administracion para Ingenieros,2,2.6,2024-1
394,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,1.6,2023-1
395,Innovacion y Emprendimiento,1,2.1,2021-1
396,Electiva de Ciencias Sociales,5,4.6,2023-3
397,Analitica de Datos,5,4.8,2023-1
398,Calculo 2,3,4.3,2023-1
399,Calculo 2,2,2.7,2021-1
400,Electiva de Ciencias Sociales,4,0.6,2024-1
401,Electiva Libre I,4,3.2,2023-1
402,Legislacion y etica en el manejo de datos,3,0.4,2024-1
403,Electiva Profesional 4,5,2.0,2023-1
404,Ingenieria y Sostenibilidad,3,4.3,2021-3
405,Calculo 2,2,3.4,2022-1
406,Formacion Ciudadana III: Paz y Convivencia,3,0.0,2022-3
407,Matematicas Fundamentales,3,0.9,2024-1
408,Inteligencia Artificial,1,4.2,2022-1
409,Ingles 3,4,4.1,2021-3
410,Electiva Profesional 3,2,4.6,2022-1
411,Programacion,5,1.2,2022-1
412,Ingles 1,5,1.2,2022-3
413,ETL (Extraccion Transformacion y Carga),2,4.1,2021-3
414,Electiva Profesional 4,5,4.3,2022-3
415,Sistemas Operativos,4,1.0,2024-1
416,Seguridad de la informacion,5,3.9,2024-1
417,Comunicacion Oral y Escrita,4,3.8,2021-1
418,Inteligencia Artificial,2,4.6,2021-1
419,Electiva de Lectura y Escritura,5,3.3,2023-3
420,Estadistica y Probabilidad II,1,3.0,2021-1
421,Analitica de Datos,2,3.3,2022-3
422,Estadistica y Probabilidad II,4,4.2,2021-1
423,Algebra Lineal,3,0.0,2022-1
424,Ingles 1,2,2.9,2023-1
425,ETL (Extraccion Transformacion y Carga),2,1.2,2023-1
426,ETL (Extraccion Transformacion y Carga),2,4.1,2023-3
427,Calculo 1,4,4.9,2023-1
428,Calculo 2,5,3.7,2021-1
429,Electiva Profesional 4,2,1.0,2023-1
430,Sistemas Operativos,4,3.9,2021-3
431,Seminario de Ing. de Datos e I.A.,1,2.3,2022-3
432,Matematicas Fundamentales,5,1.3,2021-1
433,Formacion Ciudadana II: Sociedad y Estado,4,4.8,2023-1
434,Formacion Ciudadana II: Sociedad y Estado,4,0.9,2022-1
435,Formacion Ciudadana III: Paz y Convivencia,5,3.0,2021-3
436,Ingles 2,2,2.9,2024-1
437,Ingles 2,1,0.4,2021-1
438,Innovacion y Emprendimiento,4,4.6,2023-1
439,Sistemas Operativos,5,1.5,2022-1
440,Calculo 2,5,4.3,2023-3
441,ETL (Extraccion Transformacion y Carga),3,4.4,2024-1
442,Electiva Profesional I,5,2.2,2022-3
443,Seminario de Ing. de Datos e I.A.,1,1.2,2022-3
444,Electiva de Lectura y Escritura,4,3.6,2023-3
445,Calculo 2,4,4.6,2022-3
446,Calculo 2,1,1.5,2023-1
447,Algebra Lineal,2,1.4,2023-3
448,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,4.0,2021-3
449,Electiva Profesional 4,3,1.6,2021-3
450,Formacion Ciudadana III: Paz y Convivencia,5,3.1,2022-3
451,Electiva Profesional 3,2,1.1,2022-1
452,ETL (Extraccion Transformacion y Carga),4,0.6,2022-1
453,Ingles 3,3,2.8,2024-1
454,Redes e Infraestructura,3,3.1,2021-3
455,Formacion Ciudadana III: Paz y Convivencia,2,4.7,2023-3
456,Ingles 1,2,1.5,2021-3
457,Electiva de Lectura y Escritura,3,0.2,2022-1
458,Electiva de Ciencias Sociales,3,4.2,2024-1
459,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,3,1.1,2022-1
460,Ingles 5,5,4.6,2022-3
461,Ingles 2,3,0.4,2021-3
462,Calculo 2,4,4.8,2021-1
463,Comunicacion Oral y Escrita,5,0.7,2021-3
464,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,4,0.0,2022-1
465,Ingles 1,1,1.1,2022-1
466,Electiva de Lectura y Escritura,1,4.0,2022-3
467,Almacenamiento de Datos,3,0.0,2022-3
468,Inteligencia Artificial,3,4.2,2021-1
469,Electiva Profesional 4,1,3.6,2024-1
470,Formacion Ciudadana II: Sociedad y Estado,3,4.1,2021-3
471,Ingles 3,3,3.1,2021-1
472,Electiva Libre I,5,4.5,2023-3
473,Seminario de Ing. de Datos e I.A.,3,1.5,2023-1
474,Ingles 3,2,1.4,2022-1
475,Formacion Ciudadana I : Identidades y Pluralismo,1,2.6,2021-3
476,Electiva Profesional 4,5,3.7,2023-1
477,Electiva de Lectura y Escritura,4,4.8,2024-1
478,Estadistica y Probabilidad II,3,0.7,2024-1
479,Estadistica y Probabilidad II,1,1.4,2021-1
480,Calculo 2,3,4.7,2023-1
481,Administracion para Ingenieros,3,1.6,2024-1
482,Sistemas Operativos,5,2.8,2023-3
483,Ingles 5,1,3.6,2021-1
484,Ingles 2,1,0.2,2023-3
485,Electiva de Lectura y Escritura,5,0.9,2022-1
486,Administracion para Ingenieros,4,2.3,2022-3
487,Almacenamiento de Datos,3,3.7,2022-1
488,Ingenieria y Sostenibilidad,3,3.9,2021-1
489,Legislacion y etica en el manejo de datos,2,0.4,2022-1
490,Electiva Profesional I,4,1.1,2022-3
491,Seminario de Ing. de Datos e I.A.,4,3.8,2024-1
492,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,2,2.8,2024-1
493,Ingles 5,2,3.0,2021-1
494,Redes e Infraestructura,4,3.0,2021-1
495,Programacion,5,2.4,2021-3
496,Electiva Profesional 5,3,0.8,2022-1
497,Logica y Matematica Discreta,3,0.2,2023-1
498,Formacion Ciudadana I : Identidades y Pluralismo,3,2.4,2021-1
499,Estadistica y Probabilidad I,5,2.1,2023-1
500,Calculo 1,4,3.5,2022-1
501,Introduccion a la Ingenieria de Datos e Inteligencia Artificial,1,0.5,2021-1
502,Redes e Infraestructura,1,4.1,2022-1
503,Ingles 2,5,1.0,2022-3
504,Ingles 5,1,0.1,2022-3
505,Electiva Profesional 2,1,3.0,2022-1
506,Innovacion y Emprendimiento,5,0.3,2021-3
507,Calculo 1,3,2.6,2023-3
508,Inteligencia Artificial,1,2.0,2022-1
509,Formacion Ciudadana I : Identidades y Pluralismo,4,1.6,2023-1
510,Comunicacion Oral y Escrita,4,3.9,2021-3
511,Ingles 3,5,4.5,2024-1
512,Estadistica y Probabilidad I,1,1.7,2023-1
513,Ingles 1,3,1.3,2023-3
514,Innovacion y Emprendimiento,1,3.2,2024-1
515,Almacenamiento de Datos,2,0.1,2022-3
516,Ingles 1,1,1.9,2021-1
517,ETL (Extraccion Transformacion y Carga),3,0.0,2022-3
518,Programacion,5,2.7,2023-1
519,Electiva Profesional 2,3,4.3,2023-3
520,Seminario de Ing. de Datos e I.A.,1,0.3,2023-1
521,Electiva Profesional I,4,2.9,2022-1
522,Formacion Ciudadana II: Sociedad y Estado,4,4.6,2021-3
523,Electiva Profesional I,2,2.4,2022-1
524,Electiva Profesional 4,4,4.0,2021-3
525,Legislacion y etica en el manejo de datos,4,1.1,2023-3
526,Algebra Lineal,1,1.9,2023-3
527,Legislacion y etica en el manejo de datos,1,1.0,2022-3
528,Ingles 3,3,0.4,2021-1
529,Analitica de Datos,1,4.4,2023-1
530,Electiva de Ciencias Sociales,3,3.3,2024-1
531,Programacion,1,4.5,2021-3
532,Sistemas Operativos,3,4.5,2022-1
533,Ingles 5,3,1.6,2021-1
534,Electiva Profesional I,2,1.9,2024-1
535,Programacion,2,2.5,2022-3
536,Calculo 1,3,1.5,2023-3
537,Ingles 2,4,2.9,2024-1
538,ETL (Extraccion Transformacion y Carga),5,2.8,2024-1
539,Inteligencia Artificial,1,0.8,2021-1
540,Ingenieria y Sostenibilidad,3,2.2,2021-1
541,Calculo 2,4,3.6,2021-3
542,Ingles 4,3,2.1,2022-1
543,Ingles 1,3,0.5,2023-3
544,Formacion Ciudadana II: Sociedad y Estado,5,2.2,2022-1
